Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
1.6,0.01,1.6,0.02,1.6,0.01,1.6,17.98,1.6,0.0,1.6,0.0,1.6,-0.02,1.6,0.01,1.6,0.0
1.602,0.01,1.602,0.02,1.602,0.0,1.602,16.72,1.602,0.01,1.602,0.01,1.602,-0.02,1.602,0.01,1.602,0.0
1.604,0.02,1.604,0.02,1.604,0.0,1.604,14.35,1.604,0.01,1.604,0.0,1.604,0.0,1.604,0.0,1.604,-0.01
1.606,0.01,1.606,0.02,1.606,0.0,1.606,10.38,1.606,0.01,1.606,0.01,1.606,0.01,1.606,0.0,1.606,0.0
1.608,0.0,1.608,0.01,1.608,0.0,1.608,5.85,1.608,0.01,1.608,0.01,1.608,-0.01,1.608,-0.01,1.608,0.0
1.61,0.01,1.61,0.02,1.61,0.01,1.61,2.95,1.61,0.01,1.61,0.0,1.61,0.0,1.61,0.0,1.61,0.0
1.612,0.01,1.612,0.03,1.612,0.0,1.612,1.21,1.612,0.01,1.612,0.0,1.612,0.01,1.612,-0.01,1.612,0.0
1.614,0.01,1.614,0.01,1.614,0.01,1.614,0.25,1.614,0.0,1.614,0.0,1.614,-0.02,1.614,0.01,1.614,-0.01
1.616,0.01,1.616,0.03,1.616,0.0,1.616,-0.05,1.616,0.0,1.616,0.0,1.616,-0.01,1.616,0.0,1.616,-0.01
1.618,0.0,1.618,0.03,1.618,0.0,1.618,-0.13,1.618,0.01,1.618,0.01,1.618,0.0,1.618,0.01,1.618,0.0
1.62,0.0,1.62,0.02,1.62,-0.01,1.62,-0.1,1.62,0.01,1.62,0.0,1.62,-0.02,1.62,0.0,1.62,0.0
1.622,0.01,1.622,0.03,1.622,0.0,1.622,0.0,1.622,0.01,1.622,0.0,1.622,0.0,1.622,0.0,1.622,-0.01
1.624,0.01,1.624,0.03,1.624,0.0,1.624,0.02,1.624,0.01,1.624,0.0,1.624,0.01,1.624,0.0,1.624,0.0
1.626,0.0,1.626,0.02,1.626,0.0,1.626,-0.01,1.626,0.0,1.626,0.0,1.626,-0.02,1.626,0.01,1.626,-0.01
1.628,0.01,1.628,0.02,1.628,0.01,1.628,0.01,1.628,0.02,1.628,0.0,1.628,-0.01,1.628,0.01,1.628,0.0
1.63,0.01,1.63,0.02,1.63,0.0,1.63,0.01,1.63,0.0,1.63,0.0,1.63,0.0,1.63,0.0,1.63,0.0
1.632,0.01,1.632,0.03,1.632,0.0,1.632,-0.02,1.632,0.01,1.632,0.0,1.632,0.0,1.632,0.01,1.632,0.0
1.634,0.01,1.634,0.02,1.634,0.01,1.634,0.01,1.634,0.0,1.634,0.0,1.634,0.0,1.634,0.0,1.634,-0.01
1.636,0.0,1.636,0.02,1.636,0.01,1.636,-0.01,1.636,0.0,1.636,0.0,1.636,0.0,1.636,0.01,1.636,-0.01
1.638,0.0,1.638,0.02,1.638,0.01,1.638,-0.02,1.638,0.01,1.638,0.0,1.638,0.01,1.638,0.01,1.638,0.0
1.64,0.01,1.64,0.02,1.64,0.01,1.64,0.05,1.64,0.0,1.64,0.01,1.64,0.0,1.64,0.0,1.64,-0.02
1.642,0.0,1.642,0.02,1.642,0.0,1.642,0.0,1.642,0.01,1.642,0.0,1.642,0.01,1.642,0.01,1.642,-0.02
1.644,0.01,1.644,0.01,1.644,0.0,1.644,0.03,1.644,0.0,1.644,0.01,1.644,0.01,1.644,0.0,1.644,-0.01
1.646,0.01,1.646,0.01,1.646,0.0,1.646,0.01,1.646,0.0,1.646,-0.01,1.646,-0.01,1.646,0.0,1.646,-0.01
1.648,0.01,1.648,0.02,1.648,0.0,1.648,-0.02,1.648,0.01,1.648,0.0,1.648,0.01,1.648,-0.01,1.648,-0.01
1.65,0.0,1.65,0.02,1.65,0.0,1.65,0.03,1.65,0.0,1.65,0.03,1.65,0.0,1.65,0.0,1.65,-0.01
1.652,0.01,1.652,0.01,1.652,0.0,1.652,-0.02,1.652,0.0,1.652,0.0,1.652,-0.02,1.652,0.0,1.652,-0.01
1.654,0.0,1.654,0.02,1.654,0.0,1.654,-0.01,1.654,0.0,1.654,0.01,1.654,0.0,1.654,0.0,1.654,-0.01
1.656,0.0,1.656,0.02,1.656,0.0,1.656,0.02,1.656,0.0,1.656,0.0,1.656,0.0,1.656,-0.01,1.656,0.0
1.658,0.0,1.658,0.03,1.658,0.01,1.658,0.01,1.658,0.0,1.658,0.01,1.658,-0.01,1.658,0.0,1.658,0.0
1.66,0.0,1.66,0.02,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.01,1.66,0.0,1.66,0.0,1.66,-0.01
1.662,0.01,1.662,0.03,1.662,0.0,1.662,-0.01,1.662,0.0,1.662,0.0,1.662,-0.01,1.662,0.0,1.662,0.0
1.664,0.01,1.664,0.02,1.664,0.01,1.664,0.03,1.664,0.0,1.664,-0.01,1.664,-0.01,1.664,0.01,1.664,-0.01
1.666,0.0,1.666,0.02,1.666,0.01,1.666,-0.01,1.666,0.01,1.666,-0.01,1.666,-0.02,1.666,0.0,1.666,-0.02
1.668,0.02,1.668,0.03,1.668,0.0,1.668,0.01,1.668,0.01,1.668,-0.01,1.668,0.01,1.668,0.01,1.668,-0.01
1.67,0.01,1.67,0.01,1.67,0.0,1.67,-0.04,1.67,0.01,1.67,0.01,1.67,-0.02,1.67,0.0,1.67,-0.01
1.672,0.01,1.672,0.02,1.672,0.01,1.672,0.02,1.672,0.01,1.672,0.01,1.672,0.0,1.672,0.01,1.672,-0.01
1.674,0.01,1.674,0.03,1.674,0.01,1.674,0.02,1.674,-0.01,1.674,0.0,1.674,0.0,1.674,0.0,1.674,-0.01
1.676,0.01,1.676,0.03,1.676,0.01,1.676,-0.03,1.676,0.0,1.676,0.01,1.676,0.01,1.676,0.0,1.676,-0.01
1.678,0.0,1.678,0.02,1.678,0.0,1.678,0.06,1.678,0.01,1.678,-0.01,1.678,-0.01,1.678,0.01,1.678,0.0
1.68,0.01,1.68,0.02,1.68,0.01,1.68,-0.06,1.68,0.0,1.68,0.0,1.68,-0.01,1.68,0.01,1.68,0.0
1.682,0.0,1.682,0.03,1.682,0.0,1.682,0.07,1.682,0.01,1.682,0.01,1.682,-0.01,1.682,0.0,1.682,-0.01
1.684,0.01,1.684,0.03,1.684,0.0,1.684,-0.01,1.684,0.01,1.684,0.0,1.684,0.01,1.684,0.0,1.684,-0.01
1.686,0.0,1.686,0.03,1.686,0.01,1.686,-0.05,1.686,0.01,1.686,0.0,1.686,0.0,1.686,0.0,1.686,-0.01
1.688,0.01,1.688,0.02,1.688,0.01,1.688,0.06,1.688,0.0,1.688,0.0,1.688,0.0,1.688,0.0,1.688,-0.01
1.69,0.01,1.69,0.02,1.69,0.01,1.69,-0.03,1.69,0.0,1.69,0.0,1.69,-0.01,1.69,0.0,1.69,-0.01
1.692,0.01,1.692,0.02,1.692,0.01,1.692,0.03,1.692,0.0,1.692,0.01,1.692,0.0,1.692,0.01,1.692,-0.01
1.694,0.01,1.694,0.03,1.694,0.01,1.694,0.0,1.694,0.0,1.694,0.01,1.694,0.01,1.694,0.0,1.694,-0.02
1.696,0.01,1.696,0.02,1.696,0.01,1.696,0.0,1.696,0.0,1.696,0.0,1.696,0.0,1.696,-0.01,1.696,-0.01
1.698,0.0,1.698,0.03,1.698,0.0,1.698,0.06,1.698,0.01,1.698,0.0,1.698,0.01,1.698,0.01,1.698,-0.02
1.7,0.0,1.7,0.02,1.7,0.0,1.7,-0.03,1.7,0.0,1.7,0.02,1.7,0.01,1.7,0.0,1.7,-0.01
1.702,0.0,1.702,0.03,1.702,0.01,1.702,0.04,1.702,0.0,1.702,0.01,1.702,-0.01,1.702,0.0,1.702,-0.01
1.704,0.0,1.704,0.02,1.704,0.01,1.704,0.01,1.704,0.01,1.704,0.0,1.704,-0.01,1.704,0.01,1.704,-0.01
1.706,0.0,1.706,0.03,1.706,0.0,1.706,-0.04,1.706,0.0,1.706,0.0,1.706,0.0,1.706,0.0,1.706,-0.02
1.708,0.01,1.708,0.02,1.708,0.01,1.708,0.01,1.708,0.01,1.708,0.0,1.708,0.0,1.708,0.01,1.708,-0.02
1.71,0.0,1.71,0.03,1.71,0.01,1.71,0.0,1.71,0.01,1.71,0.01,1.71,-0.01,1.71,0.0,1.71,0.0
1.712,0.01,1.712,0.02,1.712,0.0,1.712,0.06,1.712,0.0,1.712,0.0,1.712,-0.02,1.712,0.02,1.712,-0.01
1.714,0.01,1.714,0.02,1.714,0.01,1.714,0.03,1.714,0.01,1.714,0.0,1.714,-0.02,1.714,0.01,1.714,0.0
1.716,0.02,1.716,0.03,1.716,0.01,1.716,0.01,1.716,0.01,1.716,-0.01,1.716,0.01,1.716,0.0,1.716,0.0
1.718,0.0,1.718,0.03,1.718,0.0,1.718,-0.01,1.718,0.01,1.718,-0.01,1.718,-0.01,1.718,0.0,1.718,0.0
1.72,0.01,1.72,0.03,1.72,0.0,1.72,-0.05,1.72,0.01,1.72,0.01,1.72,-0.02,1.72,0.01,1.72,0.0
1.722,0.01,1.722,0.02,1.722,0.0,1.722,0.0,1.722,0.01,1.722,0.0,1.722,0.0,1.722,0.01,1.722,0.0
1.724,0.01,1.724,0.03,1.724,0.01,1.724,0.02,1.724,0.0,1.724,0.01,1.724,-0.01,1.724,0.01,1.724,0.0
1.726,0.02,1.726,0.02,1.726,0.01,1.726,0.03,1.726,0.02,1.726,0.0,1.726,-0.01,1.726,0.01,1.726,0.0
1.728,0.01,1.728,0.03,1.728,0.01,1.728,0.0,1.728,0.0,1.728,-0.01,1.728,0.0,1.728,0.0,1.728,0.0
1.73,0.01,1.73,0.02,1.73,0.0,1.73,-0.03,1.73,0.01,1.73,0.0,1.73,0.0,1.73,0.0,1.73,0.0
1.732,0.01,1.732,0.02,1.732,0.0,1.732,0.0,1.732,0.01,1.732,-0.01,1.732,-0.02,1.732,0.01,1.732,0.01
1.734,0.01,1.734,0.02,1.734,0.0,1.734,0.04,1.734,0.01,1.734,0.0,1.734,0.0,1.734,0.0,1.734,0.0
1.736,0.01,1.736,0.04,1.736,0.0,1.736,0.0,1.736,0.0,1.736,-0.01,1.736,-0.02,1.736,0.01,1.736,0.0
1.738,0.01,1.738,0.03,1.738,0.0,1.738,0.04,1.738,0.0,1.738,-0.01,1.738,0.0,1.738,0.01,1.738,0.0
1.74,0.0,1.74,0.03,1.74,0.0,1.74,0.03,1.74,0.0,1.74,0.0,1.74,0.02,1.74,0.01,1.74,0.0
1.742,0.01,1.742,0.03,1.742,0.0,1.742,-0.03,1.742,0.0,1.742,0.0,1.742,-0.01,1.742,0.01,1.742,-0.01
1.744,0.01,1.744,0.03,1.744,0.01,1.744,0.0,1.744,0.01,1.744,-0.01,1.744,0.0,1.744,0.01,1.744,-0.01
1.746,0.01,1.746,0.02,1.746,0.0,1.746,-0.01,1.746,0.0,1.746,0.01,1.746,0.0,1.746,0.01,1.746,-0.01
1.748,0.01,1.748,0.02,1.748,0.01,1.748,0.02,1.748,0.0,1.748,0.01,1.748,-0.01,1.748,0.01,1.748,0.0
1.75,0.01,1.75,0.02,1.75,0.0,1.75,0.02,1.75,0.01,1.75,0.0,1.75,0.0,1.75,0.01,1.75,-0.01
1.752,0.01,1.752,0.03,1.752,0.0,1.752,0.0,1.752,0.01,1.752,0.01,1.752,0.0,1.752,0.0,1.752,0.0
1.754,0.01,1.754,0.03,1.754,0.0,1.754,0.01,1.754,0.0,1.754,-0.01,1.754,-0.01,1.754,0.01,1.754,-0.01
1.756,0.01,1.756,0.02,1.756,0.01,1.756,0.0,1.756,0.0,1.756,0.0,1.756,-0.01,1.756,0.0,1.756,-0.01
1.758,0.01,1.758,0.02,1.758,0.0,1.758,0.02,1.758,0.0,1.758,0.01,1.758,0.02,1.758,0.0,1.758,0.0
1.76,0.0,1.76,0.01,1.76,0.01,1.76,0.01,1.76,0.0,1.76,-0.01,1.76,0.0,1.76,0.0,1.76,-0.01
1.762,0.01,1.762,0.01,1.762,0.0,1.762,0.03,1.762,0.01,1.762,0.0,1.762,-0.01,1.762,0.0,1.762,-0.01
1.764,0.02,1.764,0.01,1.764,0.01,1.764,0.03,1.764,0.0,1.764,-0.01,1.764,0.02,1.764,0.0,1.764,0.0
1.766,0.02,1.766,0.02,1.766,0.0,1.766,-0.01,1.766,0.0,1.766,-0.01,1.766,-0.01,1.766,0.0,1.766,-0.01
1.768,0.01,1.768,0.02,1.768,0.01,1.768,0.0,1.768,0.0,1.768,0.01,1.768,-0.01,1.768,0.0,1.768,0.0
1.77,0.0,1.77,0.02,1.77,0.01,1.77,0.0,1.77,0.01,1.77,0.0,1.77,0.01,1.77,0.0,1.77,0.0
1.772,0.01,1.772,0.03,1.772,0.02,1.772,0.03,1.772,0.01,1.772,0.01,1.772,-0.01,1.772,0.0,1.772,0.0
1.774,0.01,1.774,0.03,1.774,0.01,1.774,0.03,1.774,0.01,1.774,0.0,1.774,-0.02,1.774,0.01,1.774,0.0
1.776,0.01,1.776,0.02,1.776,0.01,1.776,0.01,1.776,0.01,1.776,-0.01,1.776,0.02,1.776,0.01,1.776,0.0
1.778,0.0,1.778,0.02,1.778,0.01,1.778,0.01,1.778,0.0,1.778,0.01,1.778,-0.01,1.778,0.01,1.778,-0.01
1.78,0.01,1.78,0.03,1.78,0.01,1.78,-0.01,1.78,0.01,1.78,-0.01,1.78,-0.02,1.78,0.0,1.78,0.0
1.782,0.0,1.782,0.03,1.782,0.01,1.782,0.0,1.782,0.01,1.782,0.01,1.782,0.01,1.782,0.0,1.782,0.0
1.784,0.0,1.784,0.03,1.784,0.02,1.784,0.0,1.784,0.0,1.784,0.0,1.784,0.0,1.784,0.0,1.784,-0.01
1.786,0.0,1.786,0.03,1.786,0.02,1.786,0.0,1.786,0.01,1.786,-0.01,1.786,-0.02,1.786,0.0,1.786,0.0
1.788,0.0,1.788,0.01,1.788,0.01,1.788,0.03,1.788,0.0,1.788,0.01,1.788,0.0,1.788,0.0,1.788,0.0
1.79,0.0,1.79,0.01,1.79,0.0,1.79,0.01,1.79,0.0,1.79,-0.02,1.79,-0.01,1.79,0.0,1.79,0.0
1.792,0.0,1.792,0.02,1.792,0.0,1.792,0.0,1.792,0.01,1.792,0.0,1.792,0.0,1.792,0.01,1.792,0.0
1.794,0.01,1.794,0.03,1.794,0.0,1.794,0.01,1.794,0.01,1.794,0.0,1.794,0.0,1.794,0.01,1.794,0.0
1.796,0.0,1.796,0.02,1.796,0.01,1.796,-0.01,1.796,0.0,1.796,-0.01,1.796,-0.03,1.796,0.01,1.796,0.0
1.798,0.01,1.798,0.03,1.798,0.01,1.798,-0.01,1.798,0.0,1.798,0.01,1.798,0.0,1.798,0.0,1.798,0.0
1.8,0.01,1.8,0.02,1.8,0.01,1.8,0.02,1.8,0.0,1.8,0.0,1.8,-0.01,1.8,0.01,1.8,0.0
1.802,0.01,1.802,0.02,1.802,0.01,1.802,0.02,1.802,0.0,1.802,0.0,1.802,-0.02,1.802,0.01,1.802,0.01
1.804,0.02,1.804,0.02,1.804,0.01,1.804,0.01,1.804,0.0,1.804,0.01,1.804,-0.01,1.804,0.01,1.804,-0.01
1.806,0.01,1.806,0.01,1.806,0.01,1.806,0.0,1.806,0.0,1.806,-0.01,1.806,0.0,1.806,0.01,1.806,-0.01
1.808,0.01,1.808,0.02,1.808,0.01,1.808,-0.01,1.808,0.0,1.808,0.0,1.808,-0.02,1.808,0.01,1.808,-0.01
1.81,0.01,1.81,0.01,1.81,0.01,1.81,0.03,1.81,0.0,1.81,-0.01,1.81,0.0,1.81,0.01,1.81,-0.01
1.812,0.01,1.812,0.02,1.812,0.0,1.812,0.01,1.812,0.0,1.812,0.0,1.812,-0.01,1.812,0.01,1.812,-0.01
1.814,0.02,1.814,0.02,1.814,0.01,1.814,0.0,1.814,0.01,1.814,0.0,1.814,-0.01,1.814,0.0,1.814,-0.01
1.816,0.01,1.816,0.02,1.816,0.01,1.816,0.01,1.816,0.0,1.816,0.0,1.816,-0.01,1.816,0.0,1.816,0.0
1.818,0.0,1.818,0.03,1.818,0.0,1.818,-0.01,1.818,0.01,1.818,0.0,1.818,-0.01,1.818,0.01,1.818,-0.01
1.82,0.01,1.82,0.02,1.82,0.01,1.82,-0.01,1.82,0.01,1.82,-0.01,1.82,-0.02,1.82,0.0,1.82,-0.01
1.822,0.0,1.822,0.01,1.822,0.0,1.822,0.0,1.822,0.0,1.822,0.01,1.822,0.0,1.822,0.01,1.822,-0.01
1.824,0.01,1.824,0.02,1.824,0.01,1.824,0.0,1.824,0.0,1.824,0.0,1.824,0.0,1.824,0.01,1.824,0.0
1.826,0.01,1.826,0.02,1.826,0.0,1.826,0.02,1.826,0.0,1.826,-0.01,1.826,-0.03,1.826,0.0,1.826,0.0
1.828,0.0,1.828,0.03,1.828,0.0,1.828,0.01,1.828,0.01,1.828,0.01,1.828,-0.01,1.828,0.01,1.828,-0.01
1.83,0.0,1.83,0.02,1.83,0.0,1.83,-0.01,1.83,0.01,1.83,-0.02,1.83,-0.02,1.83,0.0,1.83,0.0
1.832,0.01,1.832,0.01,1.832,0.0,1.832,0.01,1.832,0.01,1.832,-0.01,1.832,-0.03,1.832,0.0,1.832,0.0
1.834,0.0,1.834,0.01,1.834,0.01,1.834,0.0,1.834,0.0,1.834,0.01,1.834,0.0,1.834,0.01,1.834,0.0
1.836,0.01,1.836,0.01,1.836,0.01,1.836,0.0,1.836,0.0,1.836,-0.02,1.836,-0.01,1.836,0.01,1.836,0.0
1.838,0.01,1.838,0.02,1.838,0.0,1.838,0.02,1.838,0.0,1.838,0.0,1.838,-0.04,1.838,0.01,1.838,-0.01
1.84,0.01,1.84,0.02,1.84,0.0,1.84,0.0,1.84,0.0,1.84,-0.01,1.84,-0.02,1.84,0.01,1.84,-0.01
1.842,0.01,1.842,0.02,1.842,0.01,1.842,0.01,1.842,0.0,1.842,0.0,1.842,-0.03,1.842,0.01,1.842,-0.01
1.844,0.01,1.844,0.03,1.844,0.01,1.844,0.0,1.844,0.0,1.844,0.01,1.844,-0.05,1.844,0.01,1.844,-0.01
1.846,0.01,1.846,0.02,1.846,0.01,1.846,0.0,1.846,0.0,1.846,-0.01,1.846,12.52,1.846,0.0,1.846,-0.01
1.848,0.01,1.848,0.03,1.848,0.01,1.848,0.02,1.848,0.0,1.848,0.02,1.848,46.55,1.848,0.0,1.848,0.0
1.85,0.02,1.85,0.02,1.85,0.01,1.85,0.0,1.85,0.0,1.85,-0.01,1.85,48.22,1.85,0.0,1.85,-0.01
1.852,0.01,1.852,0.02,1.852,0.01,1.852,0.02,1.852,0.0,1.852,-0.01,1.852,48.08,1.852,0.01,1.852,0.0
1.854,0.0,1.854,0.02,1.854,0.01,1.854,0.0,1.854,0.0,1.854,0.01,1.854,41.43,1.854,0.01,1.854,-0.01
1.856,0.0,1.856,0.02,1.856,0.0,1.856,0.01,1.856,0.0,1.856,-0.01,1.856,30.52,1.856,0.01,1.856,-0.01
1.858,0.0,1.858,0.03,1.858,0.01,1.858,0.01,1.858,0.0,1.858,0.01,1.858,19.3,1.858,0.0,1.858,0.0
1.86,0.01,1.86,0.03,1.86,0.01,1.86,0.0,1.86,0.0,1.86,0.0,1.86,7.24,1.86,0.01,1.86,-0.02
1.862,0.0,1.862,0.01,1.862,0.01,1.862,0.02,1.862,0.01,1.862,-0.01,1.862,0.36,1.862,0.0,1.862,-0.02
1.864,0.01,1.864,0.01,1.864,0.01,1.864,0.0,1.864,0.01,1.864,0.01,1.864,-0.34,1.864,0.0,1.864,-0.01
1.866,0.01,1.866,0.01,1.866,0.0,1.866,0.01,1.866,0.01,1.866,-0.02,1.866,-0.1,1.866,0.01,1.866,-0.01
1.868,0.01,1.868,0.02,1.868,0.01,1.868,0.01,1.868,0.01,1.868,0.01,1.868,0.03,1.868,0.01,1.868,0.0
1.87,0.01,1.87,0.02,1.87,0.0,1.87,0.0,1.87,0.0,1.87,0.0,1.87,0.12,1.87,0.01,1.87,0.0
1.872,0.01,1.872,0.02,1.872,0.0,1.872,0.01,1.872,0.0,1.872,-0.03,1.872,-0.06,1.872,0.01,1.872,-0.01
1.874,0.01,1.874,0.02,1.874,0.0,1.874,0.01,1.874,-0.01,1.874,0.0,1.874,-0.09,1.874,0.02,1.874,0.0
1.876,0.0,1.876,0.02,1.876,0.0,1.876,0.01,1.876,0.0,1.876,-0.02,1.876,0.03,1.876,0.01,1.876,0.0
1.878,0.0,1.878,0.02,1.878,0.0,1.878,0.01,1.878,0.0,1.878,0.0,1.878,0.08,1.878,0.0,1.878,0.01
1.88,0.0,1.88,0.01,1.88,0.0,1.88,-0.01,1.88,0.01,1.88,0.01,1.88,0.1,1.88,0.01,1.88,0.01
1.882,0.01,1.882,0.01,1.882,0.01,1.882,0.01,1.882,0.01,1.882,-0.01,1.882,0.02,1.882,0.0,1.882,0.01
1.884,0.0,1.884,0.02,1.884,0.0,1.884,0.0,1.884,0.01,1.884,0.02,1.884,-0.05,1.884,0.0,1.884,0.0
1.886,0.01,1.886,0.0,1.886,0.01,1.886,0.0,1.886,0.01,1.886,-0.02,1.886,-0.02,1.886,0.0,1.886,0.0
1.888,0.01,1.888,0.02,1.888,0.01,1.888,0.0,1.888,0.01,1.888,-0.01,1.888,0.02,1.888,0.01,1.888,0.0
1.89,0.0,1.89,0.02,1.89,0.0,1.89,0.0,1.89,0.01,1.89,0.0,1.89,-0.03,1.89,0.0,1.89,-0.01
1.892,-0.01,1.892,0.01,1.892,0.0,1.892,0.01,1.892,0.01,1.892,-0.02,1.892,-0.01,1.892,0.0,1.892,-0.01
1.894,0.0,1.894,0.01,1.894,0.01,1.894,0.0,1.894,0.01,1.894,0.01,1.894,0.07,1.894,0.0,1.894,0.0
1.896,0.01,1.896,0.02,1.896,0.0,1.896,0.0,1.896,0.01,1.896,0.0,1.896,0.05,1.896,0.01,1.896,0.0
1.898,0.0,1.898,0.01,1.898,0.01,1.898,0.0,1.898,0.0,1.898,0.0,1.898,0.02,1.898,0.0,1.898,0.0
1.9,0.0,1.9,0.01,1.9,0.01,1.9,0.01,1.9,0.01,1.9,0.0,1.9,-0.01,1.9,0.0,1.9,0.0
1.902,0.0,1.902,0.0,1.902,0.0,1.902,0.0,1.902,0.01,1.902,0.0,1.902,-0.04,1.902,0.01,1.902,-0.01
1.904,0.0,1.904,0.0,1.904,0.0,1.904,0.0,1.904,0.01,1.904,0.01,1.904,0.0,1.904,0.01,1.904,-0.01
1.906,0.0,1.906,0.01,1.906,0.01,1.906,0.0,1.906,0.02,1.906,0.01,1.906,-0.02,1.906,0.01,1.906,-0.01
1.908,0.0,1.908,0.01,1.908,0.02,1.908,0.0,1.908,0.01,1.908,0.0,1.908,-0.02,1.908,0.0,1.908,-0.01
1.91,0.0,1.91,0.0,1.91,0.0,1.91,0.0,1.91,0.0,1.91,0.0,1.91,0.01,1.91,0.0,1.91,0.0
1.912,0.01,1.912,0.51,1.912,0.01,1.912,0.0,1.912,0.0,1.912,0.0,1.912,0.01,1.912,0.01,1.912,0.0
1.914,0.01,1.914,1.13,1.914,0.01,1.914,0.0,1.914,0.0,1.914,0.01,1.914,-0.05,1.914,-0.01,1.914,0.0
1.916,0.01,1.916,2.53,1.916,0.01,1.916,0.0,1.916,0.0,1.916,-0.01,1.916,-0.02,1.916,0.0,1.916,0.0
1.918,0.01,1.918,3.71,1.918,0.01,1.918,0.01,1.918,0.0,1.918,0.0,1.918,-0.03,1.918,0.01,1.918,0.0
1.92,0.0,1.92,5.42,1.92,0.01,1.92,-0.01,1.92,0.0,1.92,0.02,1.92,-0.04,1.92,0.0,1.92,0.0
1.922,0.01,1.922,7.14,1.922,0.01,1.922,0.02,1.922,0.0,1.922,0.0,1.922,0.03,1.922,0.01,1.922,0.0
1.924,0.01,1.924,9.24,1.924,0.02,1.924,0.01,1.924,0.0,1.924,0.0,1.924,0.03,1.924,0.0,1.924,0.0
1.926,0.01,1.926,11.09,1.926,0.0,1.926,0.01,1.926,0.0,1.926,0.0,1.926,-0.02,1.926,0.0,1.926,0.0
1.928,0.01,1.928,12.2,1.928,0.0,1.928,0.01,1.928,0.0,1.928,0.0,1.928,-0.05,1.928,0.0,1.928,0.01
1.93,0.0,1.93,12.47,1.93,0.0,1.93,0.0,1.93,0.0,1.93,0.0,1.93,-0.01,1.93,0.0,1.93,0.01
1.932,0.0,1.932,11.56,1.932,0.0,1.932,0.01,1.932,0.01,1.932,0.0,1.932,-0.02,1.932,0.01,1.932,0.0
1.934,0.0,1.934,9.86,1.934,0.0,1.934,0.0,1.934,0.01,1.934,0.0,1.934,-0.01,1.934,0.0,1.934,-0.01
1.936,0.01,1.936,7.67,1.936,0.0,1.936,0.0,1.936,0.01,1.936,0.0,1.936,0.02,1.936,0.0,1.936,0.01
1.938,0.02,1.938,5.48,1.938,0.01,1.938,0.0,1.938,0.01,1.938,-0.01,1.938,0.01,1.938,0.0,1.938,0.0
1.94,0.01,1.94,3.34,1.94,0.01,1.94,0.0,1.94,0.01,1.94,-0.01,1.94,0.02,1.94,0.01,1.94,0.0
1.942,0.0,1.942,2.18,1.942,0.01,1.942,0.0,1.942,0.01,1.942,-0.01,1.942,0.0,1.942,0.01,1.942,-0.01
1.944,0.01,1.944,1.47,1.944,0.01,1.944,0.0,1.944,0.02,1.944,0.0,1.944,-0.04,1.944,0.01,1.944,0.0
1.946,0.01,1.946,0.95,1.946,0.0,1.946,0.01,1.946,0.01,1.946,0.01,1.946,-0.05,1.946,0.0,1.946,0.0
1.948,0.02,1.948,0.6,1.948,0.01,1.948,0.0,1.948,0.0,1.948,-0.01,1.948,-0.04,1.948,0.0,1.948,0.0
1.95,0.02,1.95,0.37,1.95,0.01,1.95,0.0,1.95,0.01,1.95,-0.01,1.95,0.03,1.95,0.01,1.95,0.01
1.952,0.01,1.952,0.1,1.952,0.01,1.952,0.01,1.952,0.0,1.952,-0.01,1.952,0.03,1.952,0.0,1.952,0.0
1.954,0.01,1.954,0.03,1.954,0.01,1.954,0.0,1.954,0.01,1.954,-0.01,1.954,0.04,1.954,0.0,1.954,0.0
1.956,0.01,1.956,0.04,1.956,0.01,1.956,0.0,1.956,0.0,1.956,-0.02,1.956,0.02,1.956,0.0,1.956,0.0
1.958,0.0,1.958,0.03,1.958,0.01,1.958,-0.01,1.958,0.01,1.958,0.01,1.958,-0.04,1.958,0.0,1.958,0.0
1.96,0.0,1.96,0.03,1.96,0.01,1.96,0.0,1.96,0.01,1.96,0.0,1.96,-0.02,1.96,0.0,1.96,-0.01
1.962,0.01,1.962,0.03,1.962,0.02,1.962,0.01,1.962,0.01,1.962,-0.01,1.962,-0.01,1.962,0.01,1.962,0.0
1.964,0.01,1.964,0.02,1.964,0.01,1.964,0.01,1.964,0.0,1.964,-0.02,1.964,-0.03,1.964,0.0,1.964,0.0
1.966,0.01,1.966,0.01,1.966,0.02,1.966,0.0,1.966,0.0,1.966,-0.02,1.966,0.04,1.966,0.02,1.966,0.0
1.968,0.01,1.968,0.0,1.968,0.02,1.968,0.0,1.968,0.0,1.968,-0.01,1.968,0.07,1.968,0.01,1.968,0.0
1.97,0.01,1.97,0.01,1.97,0.02,1.97,0.0,1.97,0.01,1.97,0.0,1.97,0.01,1.97,0.0,1.97,0.0
1.972,0.0,1.972,0.02,1.972,0.01,1.972,-0.01,1.972,0.0,1.972,-0.02,1.972,-0.02,1.972,0.01,1.972,0.0
1.974,0.0,1.974,0.03,1.974,0.01,1.974,-0.01,1.974,0.02,1.974,-0.02,1.974,0.0,1.974,0.0,1.974,0.0
