Time (s) A2,Force (N) A2
-0.01,0.03
-0.008,0.01
-0.006,0.01
-0.004,0.0
-0.002,0.04
0.0,3.51
0.002,8.68
0.004,9.09
0.006,13.81
0.008,20.31
0.01,24.28
0.012,21.19
0.014,17.1
0.016,14.04
0.018,14.38
0.02,13.06
0.022,8.45
0.0239999999999999,2.3
0.0259999999999999,0.37
0.0279999999999999,0.14
0.0299999999999999,0.16
0.0319999999999999,0.18
0.0339999999999999,-0.02
0.0359999999999999,-0.22
0.0379999999999999,-0.09
0.0399999999999999,0.02
0.0419999999999999,0.18
0.0439999999999999,0.13
0.0459999999999999,0.12
0.0479999999999999,-0.03
0.0499999999999999,-0.13
0.0519999999999999,-0.02
0.0539999999999999,0.04
0.0559999999999999,0.15
0.0579999999999999,0.14
0.0599999999999999,-0.1
0.0619999999999999,-0.11
0.0639999999999999,-0.01
0.0659999999999999,0.07
0.0679999999999999,0.03
0.0699999999999999,0.07
0.0719999999999999,0.01
0.0739999999999999,-0.03
0.0759999999999999,0.0
0.0779999999999999,-0.04
0.0799999999999999,0.1
0.0819999999999999,0.06
0.0839999999999999,-0.04
0.0859999999999999,0.03
0.0879999999999999,-0.01
0.0899999999999999,-0.03
0.0919999999999999,0.03
0.0939999999999999,0.03
0.0959999999999999,0.06
0.0979999999999999,0.03
0.0999999999999999,-0.04
0.1019999999999999,-0.03
0.1039999999999999,0.02
0.1059999999999999,0.04
0.1079999999999999,0.05
0.1099999999999999,0.03
0.1119999999999999,-0.01
0.1139999999999999,0.0
0.1159999999999999,0.02
0.118,0.03
0.12,0.05
0.122,0.01
0.124,-0.01
0.126,0.01
0.128,0.0
0.13,0.02
0.132,0.04
0.134,0.03
0.136,0.03
0.138,-0.01
0.14,0.01
0.142,0.03
0.144,0.01
0.146,0.02
0.148,0.02
0.15,0.0
0.152,0.01
0.154,0.02
0.156,0.03
0.158,0.03
0.16,0.03
0.162,0.02
0.164,0.02
0.166,0.01
0.168,0.02
0.17,0.03
0.172,0.03
0.174,0.03
0.176,0.03
0.178,0.03
0.18,0.02
0.182,0.02
0.184,0.03
0.186,0.03
0.188,0.03
0.19,0.02
0.192,0.03
0.194,0.03
0.196,0.03
0.198,0.03
0.2,0.02
0.202,0.01
0.204,0.02
0.206,0.01
0.208,0.02
0.21,0.02
0.2119999999999998,0.01
0.2139999999999998,0.03
0.2159999999999998,0.01
0.2179999999999998,0.02
0.2199999999999998,0.02
0.2219999999999998,0.02
0.2239999999999998,0.02
0.2259999999999998,0.01
0.2279999999999998,0.01
0.2299999999999998,0.03
0.2319999999999998,0.02
0.2339999999999998,0.03
0.2359999999999998,0.03
0.2379999999999998,0.02
0.2399999999999998,0.03
0.2419999999999998,0.01
0.2439999999999998,0.03
0.2459999999999998,0.03
0.2479999999999999,0.02
0.2499999999999999,0.02
0.2519999999999999,0.02
0.2539999999999999,0.03
0.2559999999999999,0.02
0.2579999999999999,0.02
0.2599999999999999,0.02
0.2619999999999999,0.03
0.2639999999999999,0.03
0.2659999999999999,0.02
0.2679999999999999,0.02
0.2699999999999999,0.02
0.2719999999999999,0.02
0.2739999999999999,0.02
0.2759999999999999,0.02
0.2779999999999999,0.02
0.2799999999999999,0.02
0.2819999999999999,0.02
0.2839999999999999,0.02
0.2859999999999999,0.02
0.2879999999999999,0.03
0.2899999999999999,0.02
0.2919999999999999,0.02
0.2939999999999999,0.02
0.2959999999999999,0.01
0.2979999999999999,0.03
0.2999999999999999,0.02
0.3019999999999999,0.02
0.3039999999999999,0.02
0.3059999999999999,0.03
0.3079999999999999,0.02
0.3099999999999999,0.02
0.3119999999999999,0.02
0.3139999999999999,0.03
0.3159999999999999,0.02
0.3179999999999999,0.01
0.3199999999999999,0.02
0.3219999999999999,0.02
0.3239999999999999,0.02
0.3259999999999999,0.03
0.3279999999999999,0.02
0.3299999999999999,0.02
0.3319999999999999,0.02
0.3339999999999999,0.02
0.3359999999999999,0.02
0.3379999999999999,0.01
0.3399999999999999,0.01
0.3419999999999999,0.02
0.344,0.02
0.346,0.02
0.348,0.02
0.35,0.02
0.352,0.02
0.354,0.01
0.356,0.01
0.358,0.01
0.36,0.02
0.362,0.02
0.364,0.01
0.366,0.02
0.368,0.01
0.37,0.02
0.372,0.02
0.374,0.01
0.376,0.02
0.378,0.01
0.38,0.02
0.382,0.01
0.384,0.01
0.386,0.01
0.388,0.01
0.39,0.01
0.392,0.01
0.394,0.01
0.396,0.01
0.398,0.01
0.4,0.02
0.402,0.01
0.404,0.0
0.406,0.02
0.408,0.01
0.41,0.02
0.412,0.01
0.414,0.01
0.416,0.01
0.418,0.02
0.42,0.01
0.422,0.02
0.424,0.01
0.426,0.01
0.428,0.02
0.43,0.01
0.432,0.02
0.434,0.01
0.436,0.02
0.438,0.02
0.44,0.01
0.442,0.02
0.444,0.01
0.446,0.0
0.448,0.01
0.45,0.01
0.452,0.02
0.454,0.01
0.456,0.01
0.4580000000000001,0.01
0.4600000000000001,0.02
0.4619999999999998,0.03
0.4639999999999998,0.02
0.4659999999999998,0.02
0.4679999999999998,0.02
0.4699999999999998,0.01
0.4719999999999998,0.02
0.4739999999999998,0.02
0.4759999999999998,0.01
0.4779999999999998,0.02
0.4799999999999998,0.01
0.4819999999999999,0.02
0.4839999999999999,0.01
0.4859999999999999,0.01
0.4879999999999999,0.02
0.4899999999999999,0.02
0.4919999999999999,0.01
0.4939999999999999,0.01
0.4959999999999999,0.01
0.4979999999999999,0.01
0.4999999999999999,0.01
0.5019999999999999,0.01
0.5039999999999999,0.02
0.5059999999999999,0.01
0.5079999999999999,0.01
0.5099999999999999,0.02
0.5119999999999999,0.02
0.5139999999999999,0.02
0.5159999999999999,0.02
0.5179999999999999,0.02
0.5199999999999999,0.01
0.5219999999999999,0.01
0.5239999999999999,0.02
0.5259999999999999,0.01
0.5279999999999999,0.01
0.5299999999999999,0.02
0.5319999999999999,0.02
0.5339999999999999,0.01
0.5359999999999999,0.02
0.5379999999999999,0.02
0.5399999999999999,0.02
0.5419999999999999,0.01
0.5439999999999999,0.02
0.5459999999999999,0.0
0.5479999999999999,0.0
0.5499999999999999,0.02
0.5519999999999999,0.01
0.5539999999999999,0.01
0.5559999999999999,0.02
0.5579999999999999,0.01
0.5599999999999999,0.02
0.5619999999999999,0.02
0.564,0.02
0.566,0.02
0.568,0.01
0.57,0.01
0.572,0.02
0.574,0.01
0.576,0.01
0.578,0.01
0.58,0.01
0.582,0.01
0.584,0.0
0.586,0.01
0.588,0.01
0.59,0.01
0.592,0.01
0.594,0.02
0.596,0.01
0.598,0.01
0.6,0.02
0.602,0.01
0.604,0.02
0.606,0.01
0.608,0.01
0.61,0.02
0.612,0.01
0.614,0.02
0.616,0.02
0.618,0.01
0.62,0.01
0.622,0.02
0.624,0.01
0.626,0.01
0.628,0.01
0.63,0.02
0.632,0.01
0.634,0.02
0.636,0.02
0.638,0.02
0.64,0.02
0.642,0.02
0.644,0.02
0.646,0.02
0.648,0.02
0.65,0.02
0.652,0.01
0.654,0.03
0.656,0.03
0.658,0.03
0.66,0.03
0.662,0.02
0.664,0.02
0.666,0.02
0.668,0.02
0.67,0.03
0.672,0.02
0.674,0.01
0.676,0.02
0.678,0.01
0.68,0.02
0.682,0.01
0.684,0.01
0.686,0.02
0.6880000000000001,0.02
0.6900000000000001,0.02
0.6920000000000001,0.02
0.6940000000000001,0.01
0.6960000000000001,0.02
0.6980000000000001,0.03
0.7000000000000001,0.01
0.7020000000000001,0.03
0.7040000000000001,0.03
0.7060000000000001,0.02
0.7080000000000001,0.03
0.7100000000000001,0.03
0.7119999999999999,0.02
0.7139999999999999,0.02
0.7159999999999999,0.02
0.7179999999999999,0.03
0.7199999999999999,0.02
0.7219999999999999,0.02
0.7239999999999999,0.02
0.7259999999999999,0.02
0.7279999999999999,0.02
0.7299999999999999,0.01
0.7319999999999999,0.01
0.7339999999999999,0.02
0.7359999999999999,0.02
0.7379999999999999,0.01
0.7399999999999999,0.02
0.7419999999999999,0.02
0.7439999999999999,0.03
0.7459999999999999,0.02
0.7479999999999999,0.03
0.7499999999999999,0.02
0.7519999999999999,0.02
0.7539999999999999,0.03
0.7559999999999999,0.01
0.7579999999999999,0.02
0.7599999999999999,0.03
0.7619999999999999,0.03
0.7639999999999999,0.02
0.7659999999999999,0.02
0.7679999999999999,0.03
0.7699999999999999,0.03
0.7719999999999999,0.03
0.7739999999999999,0.02
0.7759999999999999,0.02
0.7779999999999999,0.02
0.7799999999999999,0.03
0.7819999999999999,0.02
0.7839999999999999,0.03
0.7859999999999999,0.02
0.7879999999999999,0.03
0.7899999999999999,0.02
0.7919999999999999,0.03
0.7939999999999999,0.02
0.7959999999999999,0.03
0.7979999999999999,0.02
0.7999999999999999,0.02
0.8019999999999999,0.03
0.8039999999999999,0.03
0.8059999999999999,0.03
0.8079999999999999,0.02
0.8099999999999999,0.03
0.8119999999999999,0.02
0.814,0.03
0.816,0.02
0.818,0.02
0.82,0.02
0.822,0.04
0.824,0.03
0.826,0.03
0.828,0.03
0.83,0.03
0.832,0.02
0.834,0.02
0.836,0.02
0.838,0.03
0.84,0.03
0.842,0.02
0.844,0.02
0.846,0.01
0.848,0.01
0.85,0.01
0.852,0.02
0.854,0.02
0.856,0.02
0.858,0.03
0.86,0.03
0.862,0.02
0.864,0.02
0.866,0.03
0.868,0.03
0.87,0.03
0.872,0.03
0.874,0.01
0.876,0.01
0.878,0.02
0.88,0.03
0.882,0.02
0.884,0.03
0.886,0.02
0.888,0.02
0.89,0.02
0.892,0.01
0.894,0.02
0.896,0.01
0.898,0.02
0.9,0.02
0.902,0.02
0.904,0.03
0.906,0.02
0.908,0.01
0.91,0.02
0.912,0.02
0.914,0.03
0.916,0.02
0.918,0.01
0.92,0.01
0.922,0.01
0.924,0.02
0.926,0.02
0.928,0.02
0.93,0.03
0.932,0.02
0.934,0.03
0.936,0.02
0.938,0.02
0.94,0.02
0.942,0.02
0.944,0.03
0.946,0.03
0.948,0.01
0.95,0.01
0.952,0.01
0.954,0.02
0.956,0.02
0.958,0.02
0.96,0.02
0.962,0.02
0.964,0.02
0.966,0.01
0.968,0.01
0.97,0.02
0.972,0.0
0.974,0.02
0.976,0.02
0.978,0.01
0.98,0.01
0.982,0.02
0.984,0.01
0.986,0.01
0.988,0.0
0.99,0.0
0.992,0.01
0.994,0.01
0.996,0.0
0.998,0.51
1.0,1.13
1.0019999999999998,2.53
1.004,3.71
1.0059999999999998,5.42
1.008,7.14
1.0099999999999998,9.24
1.012,11.09
1.0139999999999998,12.2
1.016,12.47
1.0179999999999998,11.56
1.02,9.86
1.0219999999999998,7.67
1.024,5.48
1.0259999999999998,3.34
1.028,2.18
1.0299999999999998,1.47
1.032,0.95
1.0339999999999998,0.6
1.036,0.37
1.0379999999999998,0.1
1.04,0.03
1.0419999999999998,0.04
1.044,0.03
1.0459999999999998,0.03
1.048,0.03
1.0499999999999998,0.02
1.052,0.01
1.0539999999999998,0.0
1.056,0.01
1.0579999999999998,0.02
1.06,0.03
1.0619999999999998,0.02
1.064,0.01
1.0659999999999998,0.01
1.068,0.01
1.0699999999999998,0.02
1.072,0.02
1.0739999999999998,0.03
1.076,0.01
1.0779999999999998,-0.01
1.08,0.0
1.082,0.02
1.084,0.03
1.086,0.03
1.0879999999999996,0.02
1.09,0.0
1.0919999999999996,0.01
1.094,0.01
1.0959999999999996,0.01
1.098,0.02
1.0999999999999996,0.02
1.102,0.01
1.1039999999999996,0.01
1.106,0.01
1.1079999999999997,0.02
1.11,0.02
1.1119999999999997,0.03
1.114,0.02
1.1159999999999997,0.02
1.118,0.01
1.1199999999999997,0.03
1.122,0.02
1.1239999999999997,0.03
1.126,0.02
1.1279999999999997,0.02
1.13,0.02
1.1319999999999997,0.03
1.134,0.02
1.1359999999999997,0.02
1.138,0.02
1.1399999999999997,0.01
1.142,0.01
1.1439999999999997,0.01
1.146,0.01
1.1479999999999997,0.02
1.15,0.02
1.1519999999999997,0.02
1.154,0.01
1.1559999999999997,0.01
1.158,0.02
1.1599999999999997,0.02
1.162,0.03
1.1639999999999997,0.02
1.166,0.01
1.1679999999999997,0.01
1.17,0.01
1.1719999999999997,0.01
1.174,0.01
1.1759999999999995,0.02
1.178,0.02
1.1799999999999995,0.01
1.182,0.02
1.1839999999999995,0.03
1.186,0.02
1.1879999999999995,0.01
1.19,0.02
1.1919999999999995,0.02
1.194,0.01
1.1959999999999995,0.01
1.198,0.02
1.1999999999999995,0.02
1.202,0.02
1.2039999999999995,0.02
1.206,0.01
1.2079999999999995,0.02
1.21,0.02
1.2119999999999995,0.02
1.214,0.02
1.2159999999999995,0.01
1.218,0.02
1.2199999999999998,0.02
1.222,0.01
1.2239999999999998,0.02
1.226,0.01
1.2279999999999998,0.01
1.23,0.01
1.2319999999999998,0.01
1.234,0.01
1.2359999999999998,0.01
1.238,0.01
1.2399999999999998,0.02
1.242,0.03
1.2439999999999998,0.01
1.246,0.01
1.2479999999999998,0.01
1.25,0.01
1.2519999999999998,0.01
1.254,0.02
1.2559999999999998,0.02
1.258,0.02
1.2599999999999998,0.02
1.262,0.03
1.2639999999999998,0.02
1.266,0.03
1.2679999999999998,0.02
1.27,0.02
1.2719999999999998,0.02
1.274,0.02
1.2759999999999998,0.02
1.278,0.01
1.2799999999999998,0.01
1.282,0.02
1.2839999999999998,0.02
1.286,0.01
1.2879999999999998,0.01
1.29,0.01
1.2919999999999998,0.0
1.294,0.01
1.2959999999999998,0.01
1.298,0.01
1.2999999999999998,0.0
1.302,0.01
1.3039999999999998,0.01
1.306,0.01
1.3079999999999998,0.01
1.31,0.01
1.3119999999999998,0.01
1.314,0.0
1.3159999999999998,0.01
1.318,0.01
1.3199999999999998,0.01
1.322,0.01
1.3239999999999998,0.01
1.326,0.01
1.3279999999999998,0.01
1.33,0.01
1.332,0.01
1.334,0.01
1.336,0.01
1.3379999999999996,0.01
1.34,0.02
1.3419999999999996,0.01
1.344,0.01
1.3459999999999996,0.01
1.348,0.01
1.3499999999999996,0.01
1.352,0.01
1.3539999999999996,0.01
1.356,0.01
1.3579999999999997,0.01
1.36,0.01
1.3619999999999997,0.01
1.364,0.01
