Time (s) A1,Force (N) A1
-0.008,0.0
-0.0060000000000002,0.01
-0.004,0.0
-0.0020000000000002,0.03
0.0,1.84
0.0019999999999997,5.64
0.004,16.59
0.0059999999999997,24.42
0.008,21.99
0.0099999999999997,22.0
0.012,22.2
0.0139999999999997,22.84
0.016,20.92
0.0179999999999997,16.2
0.02,12.68
0.0219999999999997,9.62
0.024,7.39
0.0259999999999998,5.68
0.0279999999999995,4.03
0.0299999999999998,2.42
0.0319999999999995,1.54
0.0339999999999998,0.85
0.0359999999999995,0.45
0.0379999999999998,0.13
0.0399999999999995,-0.02
0.0419999999999998,0.04
0.0439999999999995,0.17
0.0459999999999998,0.12
0.0479999999999996,0.06
0.0499999999999998,0.01
0.0519999999999996,-0.01
0.0539999999999998,-0.05
0.0559999999999996,0.03
0.0579999999999998,0.07
0.0599999999999996,0.03
0.0619999999999998,-0.01
0.0639999999999996,-0.01
0.0659999999999998,0.03
0.0679999999999996,0.04
0.0699999999999998,0.03
0.0719999999999996,0.0
0.0739999999999998,0.0
0.0759999999999996,0.03
0.0779999999999998,0.02
0.0799999999999996,0.0
0.0819999999999998,-0.06
0.0839999999999996,0.02
0.0859999999999998,0.05
0.0879999999999996,-0.01
0.0899999999999998,0.05
0.0919999999999996,-0.01
0.0939999999999998,0.0
0.0959999999999996,0.06
0.0979999999999998,-0.05
0.0999999999999996,0.02
0.1019999999999998,0.03
0.1039999999999996,-0.05
0.1059999999999998,0.03
0.1079999999999996,-0.03
0.1099999999999998,0.03
0.1119999999999996,0.05
0.1139999999999998,-0.01
0.1159999999999996,0.03
0.1179999999999998,0.01
0.1199999999999996,-0.01
0.1219999999999998,0.02
0.1239999999999996,0.01
0.1259999999999999,0.06
0.1279999999999996,0.01
0.1299999999999999,0.0
0.1319999999999996,0.02
0.1339999999999999,0.01
0.1359999999999996,0.02
0.1379999999999999,0.01
0.1399999999999996,-0.01
0.1419999999999999,0.01
0.1439999999999996,-0.01
0.1459999999999999,0.02
0.1479999999999997,0.01
0.1499999999999999,0.0
0.1519999999999997,0.02
0.1539999999999999,0.01
0.1559999999999997,0.0
0.1579999999999999,0.01
0.1599999999999997,-0.01
0.1619999999999999,0.01
0.1639999999999997,0.0
0.1659999999999999,0.0
0.1679999999999997,0.01
0.1699999999999999,0.0
0.1719999999999997,0.0
0.1739999999999999,0.0
0.1759999999999997,0.0
0.1779999999999999,0.02
0.1799999999999997,0.01
0.1819999999999999,0.02
0.1839999999999997,0.03
0.1859999999999999,-0.01
0.1879999999999997,0.02
0.1899999999999999,-0.01
0.1919999999999997,-0.01
0.1939999999999999,0.03
0.1959999999999997,0.0
0.1979999999999999,0.02
0.1999999999999997,0.01
0.2019999999999999,0.0
0.2039999999999997,0.02
0.2059999999999999,0.01
0.2079999999999997,0.02
0.2099999999999999,0.02
0.2119999999999997,0.01
0.2139999999999999,0.02
0.2159999999999997,0.01
0.2179999999999999,0.0
0.2199999999999997,0.02
0.2219999999999999,0.01
0.2239999999999997,0.02
0.2259999999999999,0.01
0.2279999999999997,0.0
0.2299999999999999,0.01
0.2319999999999997,0.02
0.2339999999999999,0.0
0.2359999999999997,0.01
0.238,0.01
0.2399999999999997,0.01
0.242,0.01
0.2439999999999997,0.01
0.246,0.01
0.2479999999999997,0.01
0.25,0.0
0.2519999999999998,0.0
0.254,0.0
0.2559999999999998,0.0
0.258,0.0
0.2599999999999998,0.0
0.262,0.0
0.2639999999999998,0.01
0.266,0.01
0.2679999999999998,0.01
0.27,0.0
0.2719999999999998,0.02
0.274,0.0
0.2759999999999998,0.01
0.2779999999999996,0.02
0.2799999999999993,0.0
0.282,0.01
0.2839999999999998,0.01
0.2859999999999996,0.0
0.2879999999999993,0.01
0.29,0.0
0.2919999999999998,0.01
0.2939999999999996,0.01
0.2959999999999994,0.0
0.298,0.0
0.2999999999999998,0.01
0.3019999999999996,0.01
0.3039999999999994,0.01
0.306,0.01
0.3079999999999998,0.0
0.3099999999999996,0.01
0.3119999999999994,0.01
0.314,0.01
0.3159999999999998,0.01
0.3179999999999996,0.01
0.3199999999999994,0.0
0.322,0.0
0.3239999999999998,0.0
0.3259999999999996,0.0
0.3279999999999994,0.0
0.33,-0.01
0.3319999999999998,0.0
0.3339999999999996,0.0
0.3359999999999994,0.0
0.3380000000000001,0.0
0.3399999999999998,0.01
0.3419999999999996,0.01
0.3439999999999994,0.0
0.3460000000000001,0.01
0.3479999999999998,0.01
0.3499999999999996,0.0
0.3519999999999994,0.0
0.3540000000000001,0.01
0.3559999999999998,0.0
0.3579999999999996,0.01
0.3599999999999994,0.02
0.3620000000000001,0.02
0.3639999999999999,0.01
0.3659999999999996,0.02
0.3679999999999994,0.01
0.3700000000000001,0.01
0.3719999999999999,0.0
0.3739999999999996,0.01
0.3759999999999994,0.02
0.3780000000000001,0.01
0.3799999999999999,0.01
0.3819999999999997,0.0
0.3839999999999994,0.01
0.3860000000000001,0.01
0.3879999999999999,0.01
0.3899999999999997,0.01
0.3919999999999994,0.01
0.3940000000000001,0.01
0.3959999999999999,0.01
0.3979999999999997,0.0
0.3999999999999994,0.01
0.4020000000000001,0.01
0.4039999999999999,0.01
0.4059999999999997,0.01
0.4079999999999995,0.0
0.4100000000000001,0.0
0.4119999999999999,0.0
0.4139999999999997,0.01
0.4159999999999995,0.01
0.4180000000000001,0.02
0.4199999999999999,0.01
0.4219999999999997,0.01
0.4239999999999995,0.01
0.4260000000000001,0.0
0.4279999999999999,0.01
0.4299999999999997,0.01
0.4319999999999995,0.01
0.4340000000000001,0.0
0.4359999999999999,0.01
0.4379999999999997,0.0
0.4399999999999995,0.01
0.4420000000000001,0.01
0.4439999999999999,0.01
0.4459999999999997,0.0
0.4479999999999995,0.0
0.4500000000000002,0.01
0.4519999999999999,0.01
0.4539999999999997,0.01
0.4559999999999995,0.01
0.4580000000000002,0.02
0.4599999999999999,0.02
0.4619999999999997,0.01
0.4639999999999995,0.01
0.4660000000000002,0.0
0.4679999999999999,0.0
0.4699999999999997,0.0
0.4719999999999995,0.0
0.4740000000000002,0.01
0.476,0.01
0.4779999999999997,0.01
0.4799999999999995,0.02
0.4820000000000002,0.01
0.484,0.02
0.4859999999999997,0.01
0.4879999999999995,0.0
0.4900000000000002,0.01
0.492,0.02
0.4939999999999998,0.02
0.4959999999999995,0.02
0.4980000000000002,0.01
0.5,0.01
0.5019999999999998,0.01
0.5039999999999996,0.02
0.5060000000000002,0.02
0.508,0.01
0.5099999999999998,0.02
0.5119999999999996,0.01
0.5140000000000002,0.01
0.516,0.02
0.5179999999999998,0.01
0.5199999999999996,0.01
0.5220000000000002,0.01
0.524,0.01
0.5259999999999998,0.02
0.5279999999999996,0.01
0.5299999999999994,0.01
0.532,0.02
0.5339999999999998,0.0
0.5359999999999996,0.01
0.5379999999999994,0.01
0.54,0.01
0.5419999999999998,0.01
0.5439999999999996,0.02
0.5459999999999994,0.01
0.548,0.01
0.5499999999999998,0.01
0.5519999999999996,0.02
0.5539999999999994,0.01
0.556,0.01
0.5579999999999998,0.01
0.5599999999999996,0.01
0.5619999999999994,0.02
0.5640000000000001,0.02
0.5659999999999998,0.01
0.5679999999999996,0.03
0.5699999999999994,0.01
0.5720000000000001,0.01
0.5739999999999998,0.01
0.5759999999999996,0.01
0.5779999999999994,0.02
0.5800000000000001,0.01
0.5819999999999999,0.0
0.5839999999999996,0.02
0.5859999999999994,0.01
0.5880000000000001,0.01
0.5899999999999999,0.02
0.5919999999999996,0.01
0.5939999999999994,0.0
0.5960000000000001,0.01
0.5979999999999999,0.01
0.5999999999999996,0.01
0.6019999999999994,0.01
0.6040000000000001,0.01
0.6059999999999999,0.01
0.6079999999999997,0.02
0.6099999999999994,0.01
0.6120000000000001,0.0
0.6139999999999999,0.0
0.6159999999999997,0.0
0.6179999999999994,0.0
0.6200000000000001,0.0
0.6219999999999999,0.0
