Time (s) Control 2,Force (N) Control 2
-0.0099999999999997,-0.01
-0.008,-0.01
-0.0060000000000002,-0.02
-0.0039999999999995,-0.02
-0.0019999999999997,-0.01
0.0,20.21
0.0019999999999997,48.02
0.0040000000000004,48.23
0.0060000000000002,46.97
0.008,38.31
0.0099999999999997,29.29
0.0120000000000004,17.56
0.0140000000000002,4.37
0.016,-0.26
0.0179999999999997,-0.18
0.0200000000000004,0.08
0.0220000000000002,-0.19
0.024,0.17
0.0259999999999998,-0.05
0.0280000000000004,-0.06
0.0300000000000002,0.08
0.032,0.12
0.0339999999999998,0.06
0.0360000000000004,-0.03
0.0380000000000002,0.01
0.04,0.08
0.0419999999999998,-0.02
0.0440000000000004,0.01
0.0460000000000002,0.06
0.048,-0.01
0.0499999999999998,0.03
0.0520000000000004,0.06
0.0540000000000002,0.01
0.056,-0.01
0.0579999999999998,0.01
0.0600000000000005,0.01
0.0620000000000002,0.0
0.064,0.02
0.0659999999999998,0.04
0.0680000000000005,0.0
0.0700000000000002,-0.02
0.072,0.0
0.0739999999999998,-0.01
0.0760000000000005,0.01
0.0780000000000002,0.01
0.08,-0.02
0.0819999999999998,-0.01
0.0840000000000005,0.0
0.0860000000000003,0.0
0.088,0.02
0.0899999999999998,0.0
0.0920000000000005,0.01
0.0940000000000003,0.02
0.096,0.01
0.0979999999999998,-0.01
0.1000000000000005,-0.02
0.1020000000000003,0.05
0.104,0.01
0.1059999999999998,0.0
0.1080000000000005,0.01
0.1100000000000003,-0.04
0.1120000000000001,0.0
0.1139999999999998,0.09
0.1160000000000005,0.04
0.1180000000000003,-0.04
0.1200000000000001,0.02
0.1219999999999998,0.0
0.1240000000000005,-0.02
0.1260000000000003,0.0
0.1280000000000001,0.0
0.1299999999999999,0.04
0.1320000000000005,0.04
0.1340000000000003,-0.02
0.1360000000000001,0.0
0.1379999999999999,0.02
0.1400000000000005,-0.01
0.1420000000000003,0.02
0.1440000000000001,0.03
0.1459999999999999,-0.03
0.1480000000000005,-0.02
0.1500000000000003,0.02
0.1520000000000001,0.01
0.1539999999999999,-0.03
0.1560000000000005,0.0
0.1580000000000003,0.03
0.1600000000000001,0.03
0.1619999999999999,0.02
0.1639999999999997,0.01
0.1660000000000003,-0.02
0.1680000000000001,0.0
0.1699999999999999,0.0
0.1719999999999997,-0.01
0.1740000000000003,0.04
0.1760000000000001,0.04
0.1779999999999999,0.03
0.1799999999999997,0.0
0.1820000000000003,-0.01
0.1840000000000001,0.01
0.1859999999999999,0.03
0.1879999999999997,0.02
0.1900000000000004,0.0
0.1920000000000001,0.03
0.1939999999999999,0.01
0.1959999999999997,-0.04
0.1980000000000004,0.02
0.2000000000000001,0.04
0.2019999999999999,-0.01
0.2039999999999997,0.01
0.2060000000000004,0.01
0.2080000000000001,-0.01
0.2099999999999999,0.01
0.2119999999999997,-0.01
0.2140000000000004,-0.01
0.2160000000000002,0.02
0.2179999999999999,0.01
0.2199999999999997,0.01
0.2220000000000004,0.0
0.2240000000000002,0.01
0.2259999999999999,-0.01
0.2279999999999997,-0.02
0.2300000000000004,0.02
0.2320000000000002,0.01
0.2339999999999999,0.01
0.2359999999999997,0.02
0.2380000000000004,0.0
0.2400000000000002,-0.01
0.242,0.0
0.2439999999999997,0.0
0.2460000000000004,-0.01
0.2480000000000002,0.02
0.25,0.03
0.2519999999999998,-0.01
0.2540000000000004,0.01
0.2560000000000002,0.01
0.258,-0.01
0.2599999999999998,0.02
0.2620000000000004,0.02
0.2640000000000002,0.01
0.266,0.01
0.2679999999999998,0.01
0.2700000000000004,-0.02
0.2720000000000002,0.01
0.274,0.03
0.2759999999999998,-0.01
0.2780000000000004,0.01
0.2800000000000002,0.02
0.282,-0.01
0.2839999999999998,0.0
0.2860000000000005,-0.01
0.2880000000000002,-0.01
0.29,0.02
0.2919999999999998,0.01
0.2940000000000005,0.0
0.2960000000000002,0.0
0.298,0.02
0.2999999999999998,-0.01
0.3020000000000005,0.0
0.3040000000000002,0.01
0.306,0.0
0.3079999999999998,0.01
0.3100000000000005,0.0
0.3120000000000003,0.0
0.314,0.02
0.3159999999999998,0.0
0.3180000000000005,0.02
0.3200000000000003,0.02
0.322,0.01
0.3239999999999998,0.02
0.3260000000000005,0.01
0.3280000000000003,-0.01
0.33,0.02
0.3319999999999998,0.01
0.3340000000000005,0.02
0.3360000000000003,0.03
0.3380000000000001,0.01
0.3399999999999998,0.0
0.3420000000000005,0.01
0.3440000000000003,-0.01
0.3460000000000001,0.0
0.3479999999999998,0.01
0.3500000000000005,0.0
0.3520000000000003,0.0
0.3540000000000001,0.01
0.3559999999999998,-0.01
0.3580000000000005,0.0
0.3600000000000003,0.01
0.3620000000000001,-0.01
0.3639999999999999,-0.01
0.3660000000000005,0.01
0.3680000000000003,0.0
0.3700000000000001,0.0
0.3719999999999999,-0.01
0.3740000000000005,0.0
0.3760000000000003,0.01
0.3780000000000001,0.0
0.3799999999999999,0.01
0.3820000000000005,-0.02
0.3840000000000003,-0.01
0.3860000000000001,0.0
0.3879999999999999,0.01
0.3900000000000005,-0.01
0.3920000000000003,0.0
0.3940000000000001,0.02
0.3959999999999999,-0.01
0.3980000000000006,-0.01
0.4000000000000003,0.01
0.4020000000000001,-0.02
0.4039999999999999,0.0
0.4060000000000006,0.0
0.4080000000000003,0.0
0.4100000000000001,0.0
0.4119999999999999,0.01
0.4139999999999997,0.0
0.4160000000000003,-0.01
0.4180000000000001,0.02
0.4199999999999999,0.0
0.4219999999999997,0.01
0.4240000000000004,0.01
0.4260000000000001,0.0
0.4279999999999999,0.0
0.4299999999999997,0.02
0.4320000000000004,0.0
0.4340000000000001,0.0
0.4359999999999999,0.01
0.4379999999999997,0.0
0.4400000000000004,0.02
0.4420000000000001,0.01
0.4439999999999999,0.0
0.4459999999999997,0.0
0.4480000000000004,0.02
0.4500000000000002,0.0
0.4519999999999999,0.0
0.4539999999999997,0.02
0.4560000000000004,0.01
0.4580000000000002,0.0
0.4599999999999999,0.0
0.4619999999999997,0.0
0.4640000000000004,0.0
0.4660000000000002,0.01
0.4679999999999999,0.0
0.4699999999999997,0.01
0.4720000000000004,0.01
0.4740000000000002,0.0
0.476,0.0
0.4779999999999997,0.0
0.4800000000000004,-0.02
0.4820000000000002,-0.01
0.484,0.01
0.4859999999999997,0.0
0.4880000000000004,0.0
