Time (s) Control 3,Force (N) Control 3
-0.0099999999999997,-0.01
-0.0079999999999991,-0.03
-0.0060000000000002,-0.01
-0.0039999999999995,-0.02
-0.0019999999999988,0.0
0.0,3.79
0.0020000000000006,37.56
0.0040000000000013,48.21
0.0060000000000002,48.23
0.0080000000000008,43.38
0.0099999999999997,33.69
0.0120000000000004,20.2
0.0140000000000011,7.45
0.016,0.39
0.0180000000000006,0.25
0.0200000000000013,-0.15
0.0220000000000002,-0.12
0.0240000000000009,-0.07
0.0259999999999998,-0.03
0.0280000000000004,0.06
0.0300000000000011,0.02
0.032,0.02
0.0340000000000006,0.11
0.0360000000000013,-0.03
0.0380000000000002,0.03
0.0400000000000009,-0.02
0.0419999999999998,0.02
0.0440000000000004,0.01
0.0460000000000011,0.03
0.048,0.01
0.0500000000000007,0.0
0.0520000000000013,-0.01
0.0540000000000002,0.0
0.0560000000000009,-0.01
0.0579999999999998,-0.01
0.0600000000000005,0.02
0.0620000000000011,-0.03
0.064,0.02
0.0660000000000007,-0.01
0.0679999999999996,-0.01
0.0700000000000002,-0.01
0.0720000000000009,0.01
0.0739999999999998,0.0
0.0760000000000005,-0.01
0.0780000000000011,0.0
0.08,-0.01
0.0820000000000007,-0.01
0.0839999999999996,0.0
0.0860000000000003,0.0
0.0880000000000009,0.01
0.0899999999999998,0.03
0.0920000000000005,0.0
0.0940000000000012,0.01
0.096,0.0
0.0980000000000007,0.01
0.0999999999999996,0.01
0.1020000000000003,0.01
0.1040000000000009,0.01
0.1059999999999998,0.0
0.1080000000000005,0.01
0.1100000000000012,0.01
0.1120000000000001,0.0
0.1140000000000007,0.01
0.1159999999999996,0.0
0.1180000000000003,0.0
0.120000000000001,0.0
0.1219999999999998,-0.01
0.1240000000000005,0.0
0.1260000000000012,-0.01
0.1280000000000001,0.01
0.1300000000000007,-0.01
0.1319999999999996,0.0
0.1340000000000003,0.01
0.136000000000001,0.0
0.1379999999999999,0.01
0.1400000000000005,0.0
0.1420000000000012,0.01
0.1440000000000001,0.0
0.1460000000000008,0.0
0.1479999999999997,0.0
0.1500000000000003,0.0
0.152000000000001,0.0
0.1539999999999999,0.0
0.1560000000000005,0.0
0.1580000000000012,0.0
0.1600000000000001,0.02
0.1620000000000008,0.01
0.1639999999999997,0.01
0.1660000000000003,0.0
0.168000000000001,0.01
0.1699999999999999,0.01
0.1720000000000006,0.01
0.1740000000000012,0.01
0.1760000000000001,0.0
0.1780000000000008,0.01
0.1799999999999997,0.01
0.1820000000000003,0.0
0.184000000000001,0.0
0.1859999999999999,0.0
0.1880000000000006,0.01
0.1900000000000012,0.0
0.1920000000000001,0.01
0.1940000000000008,0.0
0.1959999999999997,0.0
0.1980000000000004,-0.01
0.200000000000001,0.0
0.2019999999999999,0.0
0.2040000000000006,0.0
0.2060000000000013,0.01
0.2080000000000001,0.0
0.2100000000000008,0.01
0.2119999999999997,0.0
0.2140000000000004,0.01
0.216000000000001,0.0
0.2179999999999999,0.0
0.2200000000000006,-0.01
0.2220000000000013,0.0
0.2240000000000002,-0.01
0.2260000000000008,0.0
0.2279999999999997,0.01
0.2300000000000004,-0.01
0.2320000000000011,0.0
0.2339999999999999,-0.01
0.2360000000000006,0.0
0.2380000000000013,0.01
0.2400000000000002,0.0
0.2420000000000008,0.0
0.2439999999999997,0.01
0.2460000000000004,0.01
0.2480000000000011,0.0
0.25,0.01
0.2520000000000006,0.01
0.2540000000000013,0.01
0.2560000000000002,0.0
0.2580000000000009,0.0
0.2599999999999998,0.01
0.2620000000000004,0.0
0.2640000000000011,0.0
0.266,0.0
0.2680000000000007,0.0
0.2700000000000013,-0.01
0.2720000000000002,-0.01
0.2740000000000009,-0.01
0.2759999999999998,0.0
0.2780000000000004,0.0
0.2800000000000011,0.0
